,country,currency,estimateCurrency,exchange,finnhubIndustry,ipo,logo,marketCapitalization,name,phone,shareOutstanding,ticker,weburl
0,US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Banking,2000-08-18,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/PNFP.png,8248.841514429905,Pinnacle Financial Partners Inc,16157443700,77.37,PNFP,https://www.pnfp.com/
0,US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,2014-10-16,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/ATRA.png,39.742275,Atara Biotherapeutics Inc,18056234244,5.76,ATRA,https://www.atarabio.com/
0,US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Commercial Services & Supplies,1980-03-18,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/942959052156.png,171.201658284466,Virco Mfg Corp,13105330474,16.29,VIRC,https://virco.com
0,IL,USD,USD,NASDAQ NMS - GLOBAL MARKET,Electrical Equipment,2020-05-05,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/950517679136.png,145.71735588578676,Innoviz Technologies Ltd,972747003692,198.17,INVZ,https://innoviz.tech/
0,US,USD,USD,NASDAQ NMS - GLOBAL MARKET,N/A,2024-11-01,,241.4,Newbury Street II Acquisition Corp,16173342805,24.12,NTWOU,
0,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Banking,2001-06-21,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/942958991816.png,547.568169534171,SmartFinancial Inc,18662902554,16.93,SMBK,https://www.smartfinancialinc.com/
0,US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Electrical Equipment,2024-02-27,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/950357434996.png,55.69933626446281,SolarMax Technology Inc,19512218172,45.28,SMXT,https://www.solarmaxtech.com/
0,US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Professional Services,2016-12-13,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/CNDT.png,532.421152,Conduent Inc,18446632638,161.83,CNDT,https://www.conduent.com
0,US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Financial Services,2021-12-03,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/950865914156.png,2.71025160655738,Beneficient,12144454705,8.66,BENF,https://www.trustben.com/
0,CA,USD,USD,TORONTO STOCK EXCHANGE,Metals & Mining,2007-11-30,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/FNV.TO.png,39283.92431,Franco-Nevada Corp,14163066300,192.49,FNV.TO,https://www.franco-nevada.com/
0,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Professional Services,2020-06-30,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/950746570926.png,3889.7593602060892,Dun & Bradstreet Holdings Inc,19046486350,441.52,DNB,https://investor.dnb.com/
0,US,USD,USD,OTC MARKETS,N/A,2006-10-10,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/942959042336.png,0.255925,Sun Pacific Holding Corp,17328450906,0.24,SNPW,https://sunpacificholding.com/
0,US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Trading Companies & Distributors,2022-01-25,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/950813586296.png,7.88927313554536,FGI Industries Ltd,19734280400,9.56,FGI,https://www.fgi-industries.com/
0,TW,USD,USD,NASDAQ NMS - GLOBAL MARKET,Media,2000-02-17,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/942958921236.png,17.46253190831832,GigaMedia Ltd,886226568000,11.05,GIGM,http://www.gigamedia.com
0,US,,,OTC MARKETS,N/A,2009-02-24,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/942960523476.png,1.734634,GEMXX Corp,17029301815,115.31,GEMZ,https://www.gemxx.com/
0,CA,CAD,CAD,TORONTO STOCK EXCHANGE,Energy,1998-10-23,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/PPL.TO.png,31323.099112,Pembina Pipeline Corp,14032317500,580.58,PPL.TO,https://www.pembina.com/
0,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Auto Components,1999-01-29,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AXL.png,549.1034142922756,American Axle & Manufacturing Holdings Inc,13137583600,117.58,AXL,https://www.aam.com/investors
0,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",N/A,1986-11-20,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/942959012066.png,224.88,MFS Municipal Income Trust,18006372929,41.19,MFM,https://www.mfs.com/wps/portal/mfs/us-advisor-pub/products/closed-end/!ut/p/a1/hY5bT4NAEIV_DY8ys9sK1
0,US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Metals & Mining,1983-03-28,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/PLL.png,167.31935422740523,Piedmont Lithium Inc,17044618000,21.94,PLL,https://piedmontlithium.com/
0,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",N/A,2014-10-08,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/950429434986.png,986.38,Eagle Point Credit Company Inc,12038623150,111.84,ECC,http://eaglepointcreditcompany.com/
0,AR,ARS,ARS,BOLSA DE COMERCIO DE BUENOS AIRES,Banking,2016-05-11,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/SUPV3.BA.png,1338996.21,Grupo Supervielle SA,,394.98,SUPV2.BA,https://www.gruposupervielle.com/Spanish/SpanishHome/default.aspx
0,US,USD,USD,NASDAQ NMS - GLOBAL MARKET,N/A,2022-08-10,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/950811523086.png,53.96908528320802,Embrace Change Acquisition Corp,18586884965,4.52,EMCG,https://embracechange.top/
0,US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Banking,1987-01-12,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/942959134556.png,278.2117434431818,First of Long Island Corp,15166714900,22.6,FLIC,https://www.fnbli.com/
0,US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Electrical Equipment,2021-01-27,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/SHLS.png,470.92498092358795,Shoals Technologies Group Inc,16154511400,166.99,SHLS,https://www.shoals.com/
0,CL,CLP,CLP,SANTIAGO STOCK EXCHANGE,Beverages,1982-08-26,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/ANDINA-B.SN.png,2713978.6,Embotelladora Andina SA,566003603600,946.57,ANDINA-B.SN,https://www.koandina.com/
0,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",N/A,2014-12-22,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/950441771276.png,537.5,Nuveen Dow 30SM Dynamic Overwrite Fund,13129178146,36.37,DIAX,https://www.nuveen.com/CEF/Product/Overview.aspx
0,US,USD,USD,NASDAQ NMS - GLOBAL MARKET,N/A,2023-01-13,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/950824563876.png,147.3584970292704,Israel Acquisitions Corp,15122871871,6.35,ISRL,https://israelacquisitionscorp.com/
0,SG,USD,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,2020-08-14,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/MAXN.png,52.9034010984127,Maxeon Solar Technologies Ltd,654084572302,15.22,MAXN,https://maxeon.com/
0,US,USD,USD,OTC MARKETS,N/A,2017-05-05,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/950517796176.png,0.002406,GEX Management Inc,18772104396,2405.61,GXXM,https://www.gexmanagement.com/
0,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",N/A,1989-05-19,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/942980524056.png,66.37,MFS Investment Grade Municipal Trust,16179545000,8.2,CXH,https://www.mfs.com/wps/portal/mfs/us-advisor-pub/products/closed-end/
0,US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Chemicals,1998-05-13,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/IOSP.png,2511.4407775280292,Innospec Inc,17203556451,24.96,IOSP,https://innospec.com/
0,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Building,2012-03-29,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/ZWS.png,5823.94,Zurn Elkay Water Solutions Corp,14146433000,168.42,ZWS,https://zurnelkay.com/
0,CH,USD,USD,LONDON STOCK EXCHANGE,Metals & Mining,2011-05-24,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/950348441936.png,39735.163584,Glencore PLC,41417092000,12154.21,GLEN.L,https://www.glencore.com/
0,US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Financial Services,2016-11-04,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/950512685216.png,124.44880292612609,Great Elm Capital Corp,16173753006,11.54,GECC,http://www.greatelmcc.com
0,IT,EUR,EUR,"NEW YORK STOCK EXCHANGE, INC.",Life Sciences Tools & Services,2021-07-16,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/STVN.png,5878.124258695652,Stevanato Group SpA,390499318173,302.84,STVN,https://www.stevanatogroup.com/
0,US,USD,USD,OTC MARKETS,Tobacco,2008-03-05,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/942975308886.png,3.669872,VPR Brands LP,13055376607,91.75,VPRB,https://vprbrands.com/
0,US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Pharmaceuticals,2021-03-02,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/950798955646.png,231.4762018289786,Biote Corp,19724869346,54.34,BTMD,https://haymakeracquisition.com/
0,US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Health Care,2000-10-19,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/942959018046.png,415.659193494705,Delcath Systems Inc,15187438892,31.97,DCTH,https://delcath.com/
0,NL,EUR,EUR,NYSE EURONEXT - EURONEXT PARIS,Aerospace & Defense,2000-07-10,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/942958849556.png,136977.473954,Airbus SE,31715245600,792.28,AIR.PA,https://www.airbus.com/
0,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Media,1972-09-21,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/942959044746.png,515.1321638329327,Marcus Corp,14149051000,31.75,MCS,http://www.marcuscorp.com/
0,CA,CAD,CAD,CANADIAN NATIONAL STOCK EXCHANGE,N/A,2021-11-22,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/950814812066.png,4.93647,Asep Medical Holdings Inc,17786000509,74.18,ASEP.CN,https://asepmedical.com/
0,CH,EUR,EUR,SWISS EXCHANGE,"Textiles, Apparel & Luxury Goods",1997-12-16,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/942958905326.png,102024.816283,Compagnie Financiere Richemont SA,41227213500,537.58,CFR.SW,https://www.richemont.com/
0,NO,USD,USD,OSLO BORS ASA,Energy,2001-06-18,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/EQNR.OL.png,663504.489243,Equinor ASA,4751990000,2792.78,EQNR.OL,https://www.equinor.com/
0,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Aerospace & Defense,2011-03-19,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/HII.png,7688.993418954931,Huntington Ingalls Industries Inc,17573802000,39.13,HII,https://hii.com/
0,US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Banking,2019-07-02,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/950683283446.png,128.72137013793105,Richmond Mutual Bancorporation Inc,17659734299,10.91,RMBI,https://ir.rmbi.firstbankrichmond.com/overview/corporate-profile/default.aspx
0,US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Consumer products,2021-05-11,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/950715177596.png,12.67786890385714,Flora Growth Corp,14168612267,18.2,FLGC,https://www.floragrowth.com/
0,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Technology,2020-09-30,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/PLTR.png,199144.23373825074,Palantir Technologies Inc,17203583679,2344.35,PLTR,https://www.palantir.com/
0,CA,CAD,CAD,TSX VENTURE EXCHANGE - NEX,Metals & Mining,2002-05-06,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/942960349856.png,53.36908,Spanish Mountain Gold Ltd,16046013651,427.28,SPA.V,https://www.spanishmountaingold.com/
0,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Semiconductors,1993-02-09,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/WOLF.png,925.6481642361111,Wolfspeed Inc,19194075300,155.57,WOLF,https://www.wolfspeed.com/
0,US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Retail,1986-10-03,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/LE.png,364.35112017809433,Lands End Inc,16089359341,30.93,LE,https://www.landsend.com
0,US,USD,USD,OTC MARKETS,Technology,2020-11-10,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/950783490906.png,33.80131272,Latch Inc,13142005218,160.96,LTCH,https://www.latch.com/
0,US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Distributors,1995-10-13,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/POOL.png,13709.155189906875,Pool Corp,19858925521,37.63,POOL,https://www.poolcorp.com/
0,US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Commercial Services & Supplies,2021-03-15,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/950834058686.png,101.32812161290322,Bridger Aerospace Group Holdings Inc,14068130079,54.19,BAER,https://bridgeraerospace.com/
0,HK,USD,USD,NASDAQ NMS - GLOBAL MARKET,Financial Services,2017-10-20,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/950525366106.png,79.04914455721395,Metalpha Technology Holding Ltd,85235652920,38.37,MATH,https://www.dvintinc.com/
0,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",N/A,2013-03-26,https://static.finnhub.io/logo/bda2b3613157e01068283b755ce79e2fe1ae3fbdf2a75a8be684b81266e296f0.png,199.24,Eaton Vance Municipal Income 2028 Term Trust,18002256265,10.89,ETX,https://funds.eatonvance.com/municipal-income-2028-term-trust-etx.php
0,US,USD,USD,OTC MARKETS,Telecommunication,2004-06-22,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/942959119556.png,1.61761,Digerati Technologies Inc,12106147240,187.93,DTGI,https://digerati-inc.com/
0,CN,USD,USD,NASDAQ NMS - GLOBAL MARKET,Technology,2015-10-22,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/DTSS.png,16.2520011,Datasea Inc,861058401996,7.49,DTSS,http://www.dataseainc.com/
0,US,USD,USD,NASDAQ NMS - GLOBAL MARKET,"Hotels, Restaurants & Leisure",1994-05-26,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/PENN.png,2795.8780346839653,PENN Entertainment Inc,16103732400,152.95,PENN,https://www.pennentertainment.com/
0,CN,USD,USD,NASDAQ NMS - GLOBAL MARKET,Diversified Consumer Services,2021-04-16,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/950837804776.png,548.5153956012024,SunCar Technology Group Inc,,108.62,SDA,https://suncartech.com/
0,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Energy,2005-01-28,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/WTI.png,217.0244820625,W&T Offshore Inc,17136268525,147.64,WTI,https://www.wtoffshore.com/
0,US,USD,USD,NASDAQ NMS - GLOBAL MARKET,N/A,2023-02-10,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/950825153326.png,44.14,Bellevue Life Sciences Acquisition Corp,14256357700,19.28,BLAC,
0,LU,PEN,PEN,"NEW YORK STOCK EXCHANGE, INC.",Health Care,2024-03-22,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/950869617786.png,246.00000206549117,Auna SA,,73.92,AUNA,
0,US,USD,USD,OTC MARKETS,Health Care,2009-03-31,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/942979090916.png,2.299385,Vycor Medical Inc,15625582000,33.37,VYCO,https://www.vycormedical.com/
0,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Insurance,1980-03-17,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AFG.png,10678.325448641584,American Financial Group Inc,15135792121,83.98,AFG,https://www.afginc.com/
0,FI,EUR,EUR,NASDAQ OMX HELSINKI LTD.,Metals & Mining,1988-08-15,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/942958663156.png,1741.454886,Outokumpu Oyj,35894211,456.87,OUT1V.HE,https://www.outokumpu.com/
0,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Utilities,2020-12-15,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/950785282746.png,790.3988061666666,Altus Power Inc,12036980090,160.8,AMPS,https://www.altuspower.com/
0,US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,2019-03-28,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/950355398456.png,40.87937413203883,Precision BioSciences Inc,19193145512,7.89,DTIL,https://precisionbiosciences.com/
0,CN,CNY,CNY,"NEW YORK STOCK EXCHANGE, INC.",Automobiles,2020-08-27,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/XPEV.png,20949.92065006519,Xpeng Inc,,1900.45,XPEV,https://www.heyxpeng.com/no/
0,CA,USD,USD,NASDAQ NMS - GLOBAL MARKET,Diversified Consumer Services,2022-05-17,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/950824341026.png,26.195396400818,Visionary Holdings Inc,19057390593,3.77,GV,https://visiongroupca.com
0,US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Energy,2009-08-17,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/942981122446.png,29.279721053401612,Vivakor Inc,19492812606,40.34,VIVK,https://vivakor.com/
0,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Utilities,2013-07-17,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/CWEN.A.png,5527.695193170504,Clearway Energy Inc,16096081525,202.15,CWEN.A,http://investor.clearwayenergy.com/
0,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Food Products,1927-12-01,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/HSY.png,37458.159296306425,Hershey Co,17175344200,202.41,HSY,https://www.thehersheycompany.com/
0,GB,EUR,EUR,LONDON STOCK EXCHANGE,Consumer products,1939-08-11,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/ULVR.L.png,114223.756063,Unilever PLC,442018942790,2517.05,ULVR.L,https://www.unilever.com/
0,CA,CAD,CAD,TSX VENTURE EXCHANGE - NEX,Metals & Mining,2003-06-09,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/942958611946.png,22.397334,Salazar Resources Ltd,16046859316,248.86,SRL.V,https://salazarresources.com/
0,US,USD,USD,OTC MARKETS,Insurance,2002-01-25,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/942959152596.png,94.43975384211366,UTG Inc,12172416300,3.15,UTGN,https://utgins.com/
0,US,USD,USD,NASDAQ NMS - GLOBAL MARKET,N/A,2024-12-23,,214.28,Translational Development Acquisition Corp,14132042769,21.3,TDACU,
0,US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Real Estate,2004-06-23,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/REAX.V.png,901.7400038224098,Real Brokerage Inc,16464697107,195.4,REAX,https://adlventures.com/
0,US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,2021-10-29,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/950011759116.png,369.64083550200803,Aura Biosciences Inc,16175008864,49.95,AURA,https://aurabiosciences.com/
0,US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Financial Services,2013-06-27,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/950378461246.png,238.33428186272255,Silvercrest Asset Management Group Inc,12126490600,13.86,SAMG,https://www.silvercrestgroup.com/
0,CN,USD,USD,OTC MARKETS,N/A,2011-02-10,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/942981215956.png,0.816789,Tanke Biosciences Corp,862038859025,22.29,TNBI,http://www.tanke-bio.com/
0,US,USD,USD,OTC MARKETS,N/A,2022-05-27,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/950792414116.png,967.5,Copper Property CTL Pass Through Trust,19722431100,75.0,CPPTL,https://www.ctltrust.net/
0,US,,,OTC MARKETS,N/A,2021-10-18,,32.75,Grayscale Horizen Trust (Zen),12126681427,11.1,HZEN,
0,GB,USD,USD,NASDAQ NMS - GLOBAL MARKET,Pharmaceuticals,2022-03-15,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/950813793776.png,2.28290036363636,Akanda Corp,442034889514,1.11,AKAN,https://akandacorp.com/
0,HK,USD,USD,NASDAQ NMS - GLOBAL MARKET,Consumer products,1995-06-22,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/942959142846.png,60.0982517524178,Natural Health Trends Corp,85231070800,11.51,NHTC,https://www.naturalhealthtrendscorp.com/
0,US,USD,USD,OTC MARKETS,Retail,2016-02-19,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/950462893906.png,0.541891,Sharing Services Global Corp,17142036717,0.31,SHRG,https://www.shrginc.com/
0,US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,2021-04-28,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/950656797726.png,1.0931111065088799,Transcode Therapeutics Inc,18573016857,0.7,RNAZ,https://www.transcodetherapeutics.com/
0,US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,2024-05-28,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/950869929426.png,196.58277807357356,Inhibrx Biosciences Inc,18587954220,14.48,INBX,https://inhibrx.com/
0,DE,EUR,EUR,XETRA,Automobiles,1926-01-01,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/942958692276.png,54370.91671,Bayerische Motoren Werke AG,49893820,638.72,BMW.DE,https://www.bmwgroup.com/
0,US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Utilities,1943-07-06,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/EXC.png,43334.91298026982,Exelon Corp,13123947399,1005.22,EXC,https://www.exeloncorp.com/
0,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Media,2020-04-09,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/MSGE.png,1268.6321851217297,Sphere Entertainment Co,12124656000,35.83,SPHR,https://www.msgentertainment.com/
0,US,USD,USD,AEQUITAS NEO EXCHANGE,Airlines,1969-03-14,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/950727996596.png,50.154,Global Crossing Airlines Group Inc,17867518503,61.35,JET.NE,https://www.globalairlinesgroup.com/
0,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Real Estate,2021-11-01,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/950813825376.png,152.617242,Orion Office REIT Inc,16026981002,56.11,ONL,https://www.onlreit.com/
0,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Insurance,2021-03-03,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/950402494166.png,3432.255252668374,Oscar Health Inc,1646403367,250.57,OSCR,https://www.hioscar.com/
0,GB,GBP,GBP,OTC MARKETS,Biotechnology,2010-01-05,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/942958956146.png,208.21739736,Silence Therapeutics PLC,442034576900,46.66,SLNCF,https://www.silence-therapeutics.com/
0,IL,USD,USD,NASDAQ NMS - GLOBAL MARKET,Pharmaceuticals,2014-03-20,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/942970267586.png,182.6141269457125,Mediwound Ltd,97289324010,10.79,MDWD,https://www.mediwound.com/
0,JP,JPY,JPY,TOKYO STOCK EXCHANGE-TOKYO PRO MARKET,Banking,2023-10-02,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/950865615956.png,651725.51207,Kyoto Financial Group Inc,81753612211,301.36,5844.T,https://www.kyoto-fg.co.jp/
0,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Health Care,2015-09-18,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/PEN.png,10583.797787195757,Penumbra Inc,15107483200,38.52,PEN,https://www.penumbrainc.com/
